Name,Age,Push-Ups,Sit-Ups,2.4-Km-Run
Terry Zamora,50,11,1,1195
Jim Gillespie,56,75,37,899
Lori Wright,54,61,7,859
Jane Villanueva,55,8,21,1236
Brandon Wright,60,2,68,1263
Timothy Martinez,42,61,26,1238
Wanda Roberts,60,20,23,847
Mason Nelson,47,14,46,1271
Christopher Flores,22,30,74,472
Ricardo Ellison,20,71,22,740
Brandon Garcia,54,31,21,517
Susan Pacheco,37,72,25,679
Dawn Taylor,58,30,30,1194
Jenny Stanton,60,16,76,960
Kimberly Sullivan,22,77,5,1238
Angela Moss,43,3,0,712
Kristen Villarreal,28,8,9,1204
Diane Yoder,43,55,35,548
David Carter,30,0,5,1003
Lori Reyes DDS,38,26,71,760
Mary Harris,57,8,63,1221
Nicole Cruz,32,63,29,737
Melanie Washington,50,41,29,934
Anthony Mann,50,49,63,867
Heather Peterson,34,51,5,854
Martin Pennington,45,9,39,1181
Russell Obrien,48,26,38,704
Rodney Wilson,44,53,40,702
Justin Scott,48,69,26,1240
Deanna Weaver,46,62,42,872
Glenn Crawford,40,50,73,895
Chad Gonzales,21,10,30,459
Jerry Andrade,38,22,8,1060
James Wright,57,44,67,1166
Susan Morrison,30,39,54,955
Kristen Martin,37,59,51,1121
Kevin Williams,52,41,1,1227
Jorge Burton,31,50,34,761
Anita Wheeler,22,38,75,1004
Shelia Neal,42,60,44,992
Terri Nichols,56,15,70,483
Curtis Walsh,59,13,33,668
Jeffrey Stevens,52,69,64,1035
Brian Ramsey,38,43,19,1071
Christopher Lamb,43,75,18,653
Michelle Robinson,19,78,45,607
James Kim,56,12,37,1127
Kristin Kelly,53,12,61,704
Michael Parsons,44,49,25,1164
Christopher Richardson,60,51,77,1058
Caleb Adams,38,14,23,927
Thomas Taylor,45,75,44,717
Tyler Wilson,31,51,35,667
Dana Sanchez,48,43,28,1117
Antonio Ayala,20,62,14,967
Melissa Craig,34,69,71,881
Natalie Castaneda,52,20,54,705
Brandon Wilson,57,43,19,622
Allison Walters,22,61,14,457
Jennifer Kline,34,25,45,800
James Oconnor DVM,56,33,2,860
Sheila Perez,38,55,80,823
Christina Haley,57,23,68,458
Kelsey Robinson,28,23,9,593
Scott Kemp,18,6,19,510
Christopher Kaiser,19,64,34,600
Mrs. Susan Garcia,51,27,24,1179
Mrs. Lori Harrison,54,40,26,577
Kimberly Gates,57,40,42,790
Omar Warren,57,44,66,1150
Maria Mcdowell,54,71,71,630
Pamela Delgado,46,0,76,519
Pamela Joseph,56,23,75,978
Paul Fisher,30,52,68,1134
Carlos Gonzales,23,17,19,852
Adam Thompson,24,3,50,818
Rachel Graham,44,76,18,1207
Lisa Graham,37,49,2,508
Leah Cruz,28,72,45,1263
Matthew Peterson,40,1,74,1118
Daniel Kirby,27,69,32,982
Tonya Watkins,60,0,40,1046
Johnathan Williams,50,4,26,656
David Gray,28,13,68,1162
Martin Ochoa,46,33,66,458
Denise Glenn,46,77,74,902
Monique Young,52,74,78,1241
Denise Anderson,29,12,21,639
Sheri Mccarty,29,9,4,520
Brittany Nelson,50,36,44,967
Daniel Morris,57,47,23,1055
Kenneth Jones,38,4,71,717
Heather Mason,48,73,31,489
Mark Trevino,28,73,0,1124
Sean Johnson,42,49,77,1111
Nicholas Rivers,50,47,41,623
Jacob Brown,20,76,6,1298
Dale Roberts,34,25,56,635
Carmen Jacobs,42,72,67,1238
Katie Ryan,26,30,78,465
Michael Nelson,48,33,68,1135
Jennifer Wolf,48,9,9,1215
Kimberly James,29,70,50,823
Jonathan Ramirez,42,53,24,646
Steven Welch,35,17,39,734
Allison Carter,28,59,29,1214
Andrew Odonnell,50,9,10,673
James Willis,24,0,68,674
Sarah Bennett PhD,53,31,80,906
Melissa Larsen,25,48,17,1065
Teresa Mcclain,29,38,47,932
Stephanie Howard,32,20,32,1132
Anita Larson,41,73,10,1066
Paul Short,35,30,23,747
Crystal Cook,53,42,51,691
Amanda Martin,56,74,63,1255
Danielle Schaefer,19,22,58,1175
Mariah Nelson,22,75,40,1271
Tracy Davis,30,44,50,528
Phillip Cruz,33,23,75,780
Christopher Cabrera,37,79,50,453
Stephen Wheeler,20,42,37,1273
Matthew Lopez,43,33,77,925
Amy Johnson,53,14,1,774
Diana Price,31,8,35,504
Dana Freeman,45,48,66,902
William Wilkinson,50,24,49,1220
Vanessa Gibson,59,54,17,585
Lisa Dean,37,61,41,713
Amanda Green,51,80,68,905
Michael Callahan,42,36,76,797
Amy Robertson,18,26,29,802
Chelsea Warren,50,9,26,553
Michael Padilla,46,71,33,796
Taylor Aguirre,52,74,29,1100
Adam Rush,42,30,36,1018
Michael Oconnor,44,39,7,1044
Alexander Delgado,27,38,80,635
John Ferguson,39,0,39,1011
Marie Lopez,45,15,49,665
David Glass,42,19,63,543
James Conway,54,22,36,782
Manuel Roberts,35,15,52,594
Rebecca Baker,58,4,76,867
Bobby Lawrence,56,34,68,1188
Kelly Brown,43,35,37,1225
Michael Griffin,49,59,36,519
Lindsey Sanders,41,53,7,893
Anthony Harrington,24,2,46,1149
Patrick Clark,23,52,34,1150
Jasmine Thomas,26,36,65,1241
Kelly King,29,26,75,719
Shari Miller,43,18,33,1201
Angela Mooney MD,60,18,23,501
Jacob Riley,55,24,10,870
Stephanie Dorsey,38,13,12,886
Heather Flores,20,7,22,1167
Paul Austin,34,37,55,1147
George Stewart,44,0,47,1222
Cole Hart,25,8,60,715
Miss Leah Burke,55,5,70,796
Catherine Hughes,56,71,30,1142
Shawn Le,46,30,29,1278
Ricardo Tucker,18,14,72,611
William Miller,60,50,72,920
Christopher Levy,30,34,42,991
Cory Martin,22,31,72,824
Jacqueline Jones,20,50,36,633
Jennifer Koch,48,73,9,506
Allison Cruz,22,41,66,1036
Adam Pineda,55,51,1,1069
Curtis Wilson DDS,44,53,76,473
Connie Carroll,49,47,69,987
Brandon Robinson,49,20,75,581
Pamela Oliver,37,17,44,976
Theresa Williams,22,75,5,624
Karina Andrade,25,26,74,518
Aaron Singleton,35,39,16,539
Jermaine Moran,55,15,40,921
Ross Lopez,59,8,28,718
Kellie Castillo,22,24,58,497
Adam Smith,56,9,22,896
Lisa Watson,19,11,10,1123
John Sanchez,50,17,32,974
Keith Soto,55,75,32,758
Brady Smith,45,12,60,1086
Amber Baker,24,33,59,621
Thomas Santiago,46,48,35,897
Jacob Fuentes,41,27,13,965
William Walls,32,50,79,1135
Debra Leon,59,62,71,1072
Kimberly Hayes,58,65,55,558
Allison Wilcox,38,18,27,451
Eric Villegas,28,80,74,490
Justin Castro,33,24,48,598
Robert Aguirre,33,58,6,535
Stephanie Rodriguez,45,1,60,1109
Samantha Peterson,29,22,59,715
Daniel Green,27,18,56,1135
Andrea Cross,32,69,60,925
Rose Jones,22,77,8,456
Troy Johnson,56,76,22,992
Ashley Watts,34,71,71,542
Christian Evans,21,64,6,849
Joshua Armstrong,60,40,63,1021
Sharon Roberts,29,0,33,1222
Ryan Hardin,52,78,36,922
Jane Thompson,41,6,39,650
Adam Thompson,33,8,65,811
Stephen Shah,52,67,53,871
Lindsey Browning,31,22,77,979
Angela Brock,42,78,31,866
Gregory Diaz,54,78,15,755
Michael Cohen,24,61,72,1177
Julie Brown,20,62,66,1115
Charles Smith,26,41,74,650
Vincent Blanchard,36,52,29,810
Stephanie Wright,48,80,34,1058
John Simpson,26,78,68,781
Gabrielle Rodriguez,47,63,22,536
Brandy Jones,52,42,35,672
Edward Adams,52,22,29,478
Phillip Payne,34,28,16,779
Christina Rhodes,58,67,13,551
Nicole Smith,57,47,7,981
Rachel Martinez,58,64,11,860
Stephen Wheeler,47,51,23,991
Beverly Graham,57,32,50,949
Taylor Williams,27,42,24,576
Paul Lewis,57,76,13,626
Margaret Jennings,25,74,76,558
Michael Knox,53,24,75,1093
Ariel Fletcher,24,54,46,1108
Megan Skinner,27,53,17,781
Mariah Wang,42,50,20,1300
Sarah Jackson,38,17,56,900
Cheryl Weaver MD,53,18,67,671
Sara Hensley,34,7,63,510
Vicki Brooks,60,37,42,551
Raymond Murray,27,77,76,534
Mary Walsh,25,22,60,546
Olivia Chandler,42,57,38,455
Mary Ayers,18,27,51,1292
Sandra Delacruz,58,56,12,563
Peter Barnett DDS,56,18,37,505
Rodney Wright,34,55,56,1300
Sandra Morris,57,31,34,1102
Joel George,30,10,13,1026
Andrew Fry,43,1,57,1068
Daniel Morse,23,76,42,699
Susan Perez,36,60,13,742
Jeffery Carter,52,25,40,613
Juan Davis,53,40,44,953
John Harris,20,2,74,1182
Lindsey Gray,35,31,21,837
Catherine Hayes,30,50,72,860
Mary Macias,43,67,16,681
Amy Conway MD,19,55,8,930
Linda Howard,45,51,6,974
Miranda Robinson,39,26,34,1237
Susan Lawson,28,50,20,1020
Martin Maldonado,26,48,78,906
Christopher Davis,47,75,25,695
Shannon Reynolds,60,29,33,531
Jose Salas,25,79,59,934
David Walton,55,20,21,841
Trevor Duncan,57,7,41,588
Michael Brady,36,14,47,1100
Wendy Long,60,72,3,838
Robert Bennett,22,64,19,809
Robert Hall,28,72,50,613
Daniel Mcbride,49,15,16,795
Lisa Harris,43,48,57,1097
Jennifer Stewart,51,77,42,1250
Denise Jones,24,53,12,693
Matthew Mendoza,34,34,71,835
Anna Wilson,48,59,18,937
Lynn Mccarthy,21,34,41,1087
Oscar Jones,39,46,25,839
Jason Cordova,59,10,23,637
Matthew Malone,18,14,30,737
Bradley Case,22,21,34,1100
Benjamin Koch,56,67,43,1021
Kevin Nichols,58,23,73,457
Catherine Bryant,19,77,64,835
Dale Sexton,22,37,32,1071
Katie Lane,29,52,10,955
Antonio Palmer,54,23,47,1058
Becky Jackson,35,64,29,1215
John Barber,26,39,32,649
Kenneth Barnes,23,41,47,931
Dana Pruitt,59,66,4,625
Marco Buchanan,21,3,34,993
Mitchell Williams,51,61,39,1244
Robin Villanueva,52,62,76,854
Amy Ingram,59,56,58,651
Lauren Contreras,27,15,5,568
Kenneth Goodman,36,40,60,912
Brian Vargas,43,3,55,1274
Joseph Richards,24,66,57,1132
Juan Wall,52,70,64,1087
Shawn Holmes,59,65,61,690
Michelle Gonzalez,35,42,76,1287
Tami Pierce,36,19,52,1046
Allison Medina,25,51,0,974
Melissa Randolph,51,10,68,472
Mr. Samuel Alvarez,43,78,3,1159
Christian Norris,22,54,17,608
Jose Valentine,27,23,43,639
Bryan Nichols,31,55,36,1273
Tiffany Norton,18,51,9,967
Jeremy Walker,51,75,7,1120
Manuel Bender,30,9,80,1145
Christopher Cox,27,5,52,710
Thomas Rodriguez,60,58,41,924
Aaron Johnson,19,21,59,864
Edward Hernandez,48,79,9,1191
Edwin Coleman,28,66,41,799
Brittany Dillon,57,7,0,473
Sandra Smith,49,1,17,535
Dakota Roberts,28,30,34,1105
John Scott,23,74,71,935
Justin Powell,44,78,41,1211
Maureen Moses,38,48,73,941
Kevin Bryant,40,53,62,1047
Anthony Ryan,52,8,44,910
Maria Rios,53,35,20,1060
Natalie Fisher,19,48,35,969
Anne Smith,45,14,10,1161
Anthony Cannon,55,60,34,903
Diane Bowen,56,64,35,909
Thomas Carney,54,27,23,1262
Katie Carroll,43,32,36,803
Matthew French,50,14,28,1187
Cameron Contreras,32,76,73,762
Rebecca Schmidt,59,25,32,970
Joel Johnson,47,9,23,1206
Allison Kelley,22,52,3,1128
Melissa Torres,42,3,54,862
Hannah Murphy,40,71,46,762
Amy Murphy,29,7,8,827
Megan Buckley,47,78,27,450
Matthew Martin,52,65,69,1148
Kelly Smith,44,54,80,557
Scott Harding,54,66,36,786
Melissa Logan,23,33,40,954
Nathan Russell,49,59,59,1062
Jason Nelson,51,75,10,916
Hannah Contreras,20,1,41,1023
John Velez,48,43,22,1195
Brenda Griffin,48,74,39,1245
Mary Terry,34,80,52,529
Michael Gray,57,76,55,1096
Tonya Anderson,60,32,64,792
Daniel Saunders DDS,31,3,63,627
Brittany King,53,18,9,891
Ashley Green,34,71,33,816
Sherri Powell,60,2,74,1044
Jodi Oconnell,39,30,2,534
Jonathan Williams,29,13,15,560
Lorraine Chavez,22,11,79,569
Michael Campbell,22,51,74,904
Larry Snyder,41,55,45,480
Robert Lutz,44,3,78,458
Ryan Taylor,37,64,64,1158
Kevin Moore,46,45,76,719
Nicole Woodard,27,74,10,959
Joseph Bryant,56,79,43,1112
Valerie Morris,26,26,25,880
Alyssa Le,34,2,80,795
Luis Evans,52,30,58,1128
Daniel Murillo,28,46,27,1218
Whitney Peterson,38,12,42,990
John White,20,54,51,1145
Mitchell Morgan,51,26,29,1191
George Davis,19,18,2,1296
Gregory Brown,36,40,80,885
Barbara Castaneda,36,68,66,1202
Ashley Werner,46,14,29,1131
Victoria Whitehead,40,70,26,1105
Vickie Owens,59,68,55,827
Thomas Goodman,47,23,80,1244
Hayley Davis,51,25,31,1226
Mathew Craig,48,0,40,788
Susan Coleman,47,63,42,451
Nicole Watts,19,6,80,1042
Dakota Francis PhD,38,3,17,799
Shane Harrison,57,34,35,851
Mark Ramirez,27,16,39,605
Daniel Clark,50,30,34,613
Brendan Giles,56,74,24,492
Emily Rubio,50,2,25,562
Nathaniel James,39,14,80,943
Miguel Johnson,55,8,55,526
Jonathan Schmidt,30,65,65,1062
Jacob Friedman,32,61,16,1225
Catherine Mason,18,55,52,1189
Gary Castro,34,76,49,1189
Christopher Patterson,33,36,60,1223
Cindy Gibson,53,15,54,1103
John Hall,33,80,22,1271
Dennis Villarreal,25,45,6,1267
David Rivera,50,65,67,1050
Sydney Gillespie,21,5,55,546
Angelica Suarez,30,23,28,1244
Andrew Wilson,32,42,5,1180
David Jackson,42,31,0,790
Juan Wilson,59,55,61,1009
Samantha Sullivan,47,56,47,580
Edward Smith,46,45,69,912
Jennifer Raymond,33,46,3,1133
Donna Anderson,46,11,8,1127
Nicholas Adams,40,35,76,566
Diana White,34,42,1,1041
Christopher Lewis,47,9,24,1002
Jessica Nguyen,30,11,53,814
Michael Robinson,46,17,9,1072
Susan Coleman,46,76,58,480
Jennifer Robbins,34,31,40,739
Elizabeth Mccullough,53,51,40,957
John Bowers,34,9,1,1078
Michelle Castillo,53,32,71,603
Matthew Smith,42,10,29,891
Pamela Henderson,27,53,65,1297
Kelly Lopez,22,59,46,829
Jackie Bowen,27,50,28,754
Emily Williams,18,28,34,713
Mark Ingram,55,72,55,1205
Tracey Oliver,54,58,63,716
Patty Adams,20,43,48,561
Jacob Martinez,58,13,37,1168
Michelle Espinoza,32,34,79,1296
Jordan Mata,50,44,65,754
Tammy Johnston,34,52,25,772
Hayley Bowers,45,75,0,729
Larry Paul,50,73,47,875
Javier Davis,47,69,48,457
Jonathan Lopez,22,63,80,946
Gary Delgado,58,67,49,1267
Jason Knight,32,53,76,472
Julie Villanueva,31,9,58,904
Alexandra Ray,55,65,72,759
Brenda Cannon,50,7,6,1104
Jamie Martinez,43,11,3,749
Brianna Bowers,59,21,29,715
Robert Martinez,30,65,43,903
Daniel Hartman,44,49,57,589
Keith Perry,30,62,1,1087
Dominique Schwartz,50,21,64,939
Margaret Beltran,55,6,53,785
Michele Davenport,45,73,13,1163
Joseph Simmons,34,4,10,814
Jason Davis,59,63,53,613
Dakota House,36,64,34,1288
Christopher Mcneil,33,61,34,584
Devin Griffin,35,64,33,680
Derek Tucker,20,16,2,1050
Julie Haney,21,50,77,1187
Charles Obrien,51,17,60,599
Jennifer Rios,47,2,25,632
Eric Reynolds,34,61,66,525
Jessica Adams,55,79,2,1101
Rebecca Wright,47,6,48,1111
Jeff Jackson,46,35,30,1192
Belinda Berry,34,69,32,789
Karen Robinson,29,15,57,1089
Nicole Jones,47,75,54,706
Jordan Morris,57,39,47,1061
Lisa Carter,39,3,51,624
Richard Fisher,30,27,8,1232
Kathleen Hernandez,47,47,74,1156
Tyrone Chambers,52,20,13,752
Betty Meyer,35,56,20,1201
Jennifer Peterson,19,18,39,1080
Jackson Carter,46,79,49,522
Kelly Franklin,42,40,65,1129
Mary Patterson,36,4,63,565
Nancy Christensen,60,7,71,676
Marcus Hall,48,46,15,540
Dana Joyce,32,73,69,729
Philip Diaz,31,72,48,746
Laura Walters,25,33,53,891
Alexandra Ware,23,27,79,753
Sharon Nichols,19,53,2,838
Stephanie Bryan,46,2,54,1024
Raymond Scott,32,79,37,782
Jennifer Lawrence,38,69,42,822
Jennifer Vincent,50,53,72,733
Gary Lloyd,29,67,23,490
William Martin,49,44,57,818
Michael Smith,24,41,52,689
Nichole Brown,40,30,17,710
Angela Hunter,59,59,73,1082
Dwayne Andrade,52,7,31,626
Megan Morales,54,70,21,669
Elizabeth Giles,47,60,68,835
Megan Riley,29,59,38,622
Todd Moore,33,40,57,545
Debra Ball,46,50,50,1283
Richard Dorsey,40,45,66,546
Mathew Hess,50,1,24,1095
Zachary Little,42,53,41,1026
Robert Ortiz,36,53,46,884
Makayla Galloway,49,4,61,569
Tammy Martinez,52,38,49,876
Daniel Cook,52,5,20,718
Robert Bryant,28,28,42,1080
Sean Williams,40,60,48,1211
Brian Stone,19,42,3,1117
Alan Hutchinson,29,4,67,617
Steven Leonard,41,68,71,1082
Dr. Robert Ward,60,27,11,1264
Kim Ramirez,38,3,0,1214
William Bailey,40,13,61,469
Sarah Monroe,50,80,4,558
Joseph Anderson,45,28,62,1290
Mr. Melvin Walker,60,76,70,916
Adam King,58,24,26,1002
Jennifer Reed,42,5,9,1182
Kellie Dalton,53,38,43,931
Rebekah Simmons,51,44,49,830
Julia Marsh,44,24,64,844
Darren Cabrera,36,56,12,458
Frank Love,58,58,56,758
Lori Snyder,19,63,35,521
Joshua Murphy,40,32,74,652
Heather Hampton,43,24,49,539
Connor Pitts,57,8,75,1237
Corey Morrison,40,38,54,1194
Paul Cummings,38,59,58,999
Michael Wallace,36,76,5,1135
Karen Bennett,53,7,13,1285
Casey Green,41,47,8,1115
Amy Hamilton,23,26,28,1238
Brittany Harmon,32,43,10,753
Yolanda Mueller,45,77,36,540
Jennifer Atkinson,25,9,38,541
Mark Sosa,35,59,20,1194
Amber Kelley,57,5,52,985
David Cain,46,69,31,985
Jennifer Dunn,41,67,24,990
Heather Brown,43,6,10,1196
Carrie Wilkerson,42,30,48,957
Kaylee Stewart,53,70,76,716
Jason Gibbs,31,59,71,729
Ashley Mendoza,26,20,4,767
Christian Patton,52,45,14,1079
James Yang,40,58,33,955
Terri Duncan,28,52,27,465
William Escobar,37,16,20,1160
William Raymond,24,7,75,515
Cheryl Johnson,22,59,64,851
Craig Wong,40,37,39,497
Beth Mooney,43,37,67,468
Angela Jefferson,60,69,41,1001
Kimberly Blake,60,5,17,1156
Theresa Hill,40,76,79,861
Steve Wise,57,68,25,718
Cory Hoover,48,20,32,581
Keith Thomas,28,23,43,799
Courtney Holland,53,66,51,868
Sheila Hernandez,60,71,18,585
Corey Cook,53,15,77,619
Christopher Stevens,27,19,66,1291
Debbie Taylor,19,6,28,572
Bobby Robinson,34,27,58,611
Robert Rogers,24,43,27,1038
Mark White,32,35,45,720
Darlene Brown,51,37,0,495
